dataset,split,label,threshold,accuracy,auroc,auprc,f1_score,prec,rec,sensitivity,spec,aprec,br_score,tn,fp,fn,tp,support
chapman,validation,LBBB,0.04132080078125,0.9906103286384976,0.99667616334283,0.7727272727272727,0.7058823529411764,0.5454545454545454,1.0,1.0,0.9905033238366572,0.7187033146591971,0.006661803247065957,1043,10,0,12,12
chapman,validation,1dAVB,0.030731201171875,0.8413145539906103,0.689109756097561,0.2898740930431072,0.17560975609756097,0.10909090909090909,0.45,0.45,0.8565853658536585,0.08966692594684403,0.03605499720032709,878,147,22,18,40
chapman,validation,SB,0.173828125,0.9314553990610329,0.9810210127242867,0.9189555387626988,0.9099876695437732,0.858139534883721,0.968503937007874,0.968503937007874,0.9108187134502924,0.9573081696633521,0.05684503289047727,623,61,12,369,381
chapman,validation,ST,0.284423828125,0.9267605633802817,0.9698816956950378,0.8125616443760604,0.7947368421052631,0.719047619047619,0.888235294117647,0.888235294117647,0.9340782122905028,0.9133943561473173,0.04044204898708688,836,59,19,151,170
chapman,test,AF,0.11517333984375,0.9342414279004227,0.9824574413737412,0.8385242561094158,0.8200514138817482,0.7266514806378133,0.9410029498525073,0.9410029498525073,0.9329608938547486,0.9079696503370962,0.04438697840357074,1670,120,20,319,339
chapman,test,RBBB,0.127685546875,0.9657116016909347,0.9664076143904994,0.7237633148259454,0.6755555555555556,0.5390070921985816,0.9047619047619048,0.9047619047619048,0.9682151589242054,0.8297398677399458,0.013353326923914804,1980,65,8,76,84
chapman,test,LBBB,0.04132080078125,0.9943635509628934,0.9991725768321513,0.7353538996622604,0.6842105263157894,0.5416666666666666,0.9285714285714286,0.9285714285714286,0.9947990543735225,0.8843551289979861,0.0023107046749613743,2104,11,1,13,14
chapman,test,1dAVB,0.030731201171875,0.8609675904180366,0.7568316065598522,0.28259075421312113,0.13953488372093023,0.08191126279863481,0.47058823529411764,0.47058823529411764,0.870548604427334,0.11355186760050265,0.022936114069125664,1809,269,27,24,51
chapman,test,SB,0.173828125,0.9323626115547206,0.9835398056551903,0.921492439349321,0.9124087591240876,0.8650519031141869,0.9652509652509652,0.9652509652509652,0.9134615384615384,0.966632763721564,0.05584224287181798,1235,117,27,750,777
chapman,test,ST,0.284423828125,0.9403475810239549,0.9762195243406899,0.8408485987161421,0.8272108843537415,0.7619047619047619,0.9047619047619048,0.9047619047619048,0.947016174010039,0.9027429921255613,0.037704592568021014,1698,95,32,304,336
sph,validation,AF,0.046295166015625,0.9728155339805825,0.9827062403908933,0.7477938350594112,0.6788990825688074,0.5211267605633803,0.9736842105263158,0.9736842105263158,0.9727891156462585,0.8800391287309176,0.006945625238654094,2431,68,2,74,76
sph,validation,RBBB,0.01467132568359375,0.9949514563106796,0.9996350156829198,0.9216867469879518,0.9150326797385622,0.8433734939759037,1.0,1.0,0.9948103792415169,0.9805348129095294,0.0023381194224208566,2492,13,0,70,70
sph,validation,LBBB,0.060760498046875,0.9980582524271845,0.9998050682261208,0.7963480209111277,0.7826086956521738,0.6923076923076923,0.9,0.9,0.9984405458089669,0.9666666666666667,0.0009192435734038729,2561,4,1,9,10
sph,validation,1dAVB,0.05126953125,0.9300970873786408,0.990880626223092,0.55,0.18181818181818182,0.1,1.0,1.0,0.9295499021526419,0.4255877437565023,0.005986903246135973,2375,180,0,20,20
sph,validation,SB,0.456787109375,0.9289320388349515,0.9843526677418931,0.7833856416074333,0.7366906474820144,0.5939675174013921,0.9696969696969697,0.9696969696969697,0.9242752055387278,0.8719174509102625,0.04771671470489957,2136,175,8,256,264
sph,validation,ST,0.01282501220703125,0.9351456310679611,0.9868061874431302,0.6194710858539367,0.42214532871972316,0.26991150442477874,0.9682539682539683,0.9682539682539683,0.9343152866242038,0.7498343116450908,0.010564479710884114,2347,165,2,61,63
sph,test,AF,0.046295166015625,0.9801787796346677,0.9965121176043706,0.780129098170055,0.7258064516129032,0.574468085106383,0.9854014598540146,0.9854014598540146,0.9800359353164304,0.8349466244043722,0.007904504006217688,4909,100,2,135,137
sph,test,RBBB,0.01467132568359375,0.9895064127477653,0.9909340192317643,0.8474522896035716,0.8291139240506329,0.7237569060773481,0.9703703703703703,0.9703703703703703,0.9900219517062463,0.96611581977957,0.003306090362048606,4961,50,4,131,135
sph,test,LBBB,0.060760498046875,0.999028371550719,0.9990064580228515,0.8895223889309628,0.888888888888889,0.8695652173913043,0.9090909090909091,0.9090909090909091,0.9994145199063232,0.9450059288537549,0.0010822845148417567,5121,3,2,20,22
sph,test,1dAVB,0.05126953125,0.928682471822775,0.9674430926216641,0.5166233702061183,0.20043572984749455,0.11246943765281174,0.92,0.92,0.9287676609105181,0.2961634002586272,0.007976116042664499,4733,363,4,46,50
sph,test,SB,0.456787109375,0.9251846094053634,0.9825343680496971,0.7761120270934622,0.7302032235459004,0.5900339750849377,0.9577205882352942,0.9577205882352942,0.9213385484571925,0.8665661696704852,0.049587037889551565,4240,362,23,521,544
sph,test,ST,0.01282501220703125,0.9486980178779635,0.9819029083808644,0.6651757372505641,0.5319148936170213,0.36764705882352944,0.9615384615384616,0.9615384615384616,0.9482965931863727,0.8381036247616735,0.012703126872935424,4732,258,6,150,156
