record_id,split,domain
MUSE_20180210_133056_49000,train,chapman_ningbo_china
MUSE_20180712_151511_11000,train,chapman_ningbo_china
MUSE_20180115_131706_61000,train,chapman_ningbo_china
MUSE_20180210_124643_37000,train,chapman_ningbo_china
MUSE_20180118_121004_03000,train,chapman_ningbo_china
MUSE_20180114_071332_30000,train,chapman_ningbo_china
MUSE_20180114_125424_72000,train,chapman_ningbo_china
MUSE_20180210_124248_10000,train,chapman_ningbo_china
MUSE_20180120_122854_80000,train,chapman_ningbo_china
MUSE_20180114_080230_57000,train,chapman_ningbo_china
MUSE_20180115_133602_87000,train,chapman_ningbo_china
MUSE_20180120_121458_09000,train,chapman_ningbo_china
MUSE_20180119_173408_50000,train,chapman_ningbo_china
MUSE_20180112_125050_15000,train,chapman_ningbo_china
MUSE_20180209_115954_02000,train,chapman_ningbo_china
MUSE_20180113_184713_64000,train,chapman_ningbo_china
MUSE_20180712_160106_23000,train,chapman_ningbo_china
MUSE_20180114_072449_47000,train,chapman_ningbo_china
MUSE_20180210_123327_97000,train,chapman_ningbo_china
MUSE_20180120_121828_71000,train,chapman_ningbo_china
MUSE_20180120_121822_38000,train,chapman_ningbo_china
MUSE_20180114_125327_59000,train,chapman_ningbo_china
MUSE_20180112_071907_21000,train,chapman_ningbo_china
MUSE_20180112_074912_60000,train,chapman_ningbo_china
MUSE_20180115_133426_48000,train,chapman_ningbo_china
MUSE_20180120_123622_77000,train,chapman_ningbo_china
MUSE_20180113_120859_09000,train,chapman_ningbo_china
MUSE_20180210_130734_00000,train,chapman_ningbo_china
MUSE_20180113_122624_75000,train,chapman_ningbo_china
MUSE_20180712_161441_91000,train,chapman_ningbo_china
MUSE_20180114_075112_43000,train,chapman_ningbo_china
MUSE_20180712_151515_41000,train,chapman_ningbo_china
MUSE_20180112_132814_57000,train,chapman_ningbo_china
MUSE_20180116_132614_05000,train,chapman_ningbo_china
MUSE_20180114_170801_25000,train,chapman_ningbo_china
MUSE_20180113_080353_52000,train,chapman_ningbo_china
MUSE_20180712_161228_84000,train,chapman_ningbo_china
MUSE_20180113_171735_45000,train,chapman_ningbo_china
MUSE_20180112_121356_16000,train,chapman_ningbo_china
MUSE_20180210_125913_20000,train,chapman_ningbo_china
MUSE_20180209_122418_61000,train,chapman_ningbo_china
MUSE_20180209_171613_87000,train,chapman_ningbo_china
MUSE_20180114_172013_66000,train,chapman_ningbo_china
MUSE_20180116_120219_14000,train,chapman_ningbo_china
MUSE_20180209_122537_05000,train,chapman_ningbo_china
MUSE_20180112_140238_41000,train,chapman_ningbo_china
MUSE_20180112_072624_20000,train,chapman_ningbo_china
MUSE_20180209_125506_04000,train,chapman_ningbo_china
MUSE_20180118_131238_35000,train,chapman_ningbo_china
MUSE_20180112_073519_53000,train,chapman_ningbo_china
MUSE_20180209_131150_97000,train,chapman_ningbo_china
MUSE_20180116_122634_19000,train,chapman_ningbo_china
MUSE_20180209_175053_66000,train,chapman_ningbo_china
MUSE_20180113_080256_05000,train,chapman_ningbo_china
MUSE_20180116_132022_44000,train,chapman_ningbo_china
MUSE_20180118_133628_12000,train,chapman_ningbo_china
MUSE_20180119_173433_41000,train,chapman_ningbo_china
MUSE_20180118_122945_62000,train,chapman_ningbo_china
MUSE_20180209_174002_19000,train,chapman_ningbo_china
MUSE_20180116_134026_76000,train,chapman_ningbo_china
MUSE_20180114_131049_72000,train,chapman_ningbo_china
MUSE_20180112_165530_76000,train,chapman_ningbo_china
MUSE_20180112_073419_46000,train,chapman_ningbo_china
MUSE_20180116_115924_47000,train,chapman_ningbo_china
MUSE_20180116_124659_88000,train,chapman_ningbo_china
MUSE_20180115_125206_70000,train,chapman_ningbo_china
MUSE_20180113_130233_96000,train,chapman_ningbo_china
MUSE_20180119_171935_27000,train,chapman_ningbo_china
MUSE_20180119_171328_79000,train,chapman_ningbo_china
MUSE_20180113_133818_69000,train,chapman_ningbo_china
MUSE_20180112_122734_87000,train,chapman_ningbo_china
MUSE_20180113_175946_60000,train,chapman_ningbo_china
MUSE_20180112_124632_90000,train,chapman_ningbo_china
MUSE_20180209_175327_57000,train,chapman_ningbo_china
MUSE_20180118_173902_21000,train,chapman_ningbo_china
MUSE_20180118_120325_48000,train,chapman_ningbo_china
MUSE_20180209_112141_64000,train,chapman_ningbo_china
MUSE_20180712_150854_11000,train,chapman_ningbo_china
MUSE_20180118_125218_80000,train,chapman_ningbo_china
MUSE_20180115_123726_44000,train,chapman_ningbo_china
MUSE_20180112_073352_26000,train,chapman_ningbo_china
MUSE_20180118_175924_32000,train,chapman_ningbo_china
MUSE_20180114_121030_51000,train,chapman_ningbo_china
MUSE_20180118_122725_77000,train,chapman_ningbo_china
MUSE_20180118_133741_56000,train,chapman_ningbo_china
MUSE_20180209_123704_35000,train,chapman_ningbo_china
MUSE_20180209_173838_68000,train,chapman_ningbo_china
MUSE_20180210_122648_59000,train,chapman_ningbo_china
MUSE_20180113_184628_98000,train,chapman_ningbo_china
MUSE_20180112_131838_60000,train,chapman_ningbo_china
MUSE_20180115_124600_97000,train,chapman_ningbo_china
MUSE_20180115_130010_25000,train,chapman_ningbo_china
MUSE_20180113_115105_86000,train,chapman_ningbo_china
MUSE_20180115_133546_38000,train,chapman_ningbo_china
MUSE_20180209_111726_41000,train,chapman_ningbo_china
MUSE_20180116_174020_41000,train,chapman_ningbo_china
MUSE_20180113_175915_48000,train,chapman_ningbo_china
MUSE_20180712_151009_19000,train,chapman_ningbo_china
MUSE_20180115_123914_54000,train,chapman_ningbo_china
MUSE_20180209_120905_73000,train,chapman_ningbo_china
MUSE_20180112_074605_82000,train,chapman_ningbo_china
MUSE_20180116_130422_21000,train,chapman_ningbo_china
MUSE_20180112_124558_38000,train,chapman_ningbo_china
MUSE_20180116_170829_45000,train,chapman_ningbo_china
MUSE_20180210_122742_57000,train,chapman_ningbo_china
MUSE_20180115_134010_27000,train,chapman_ningbo_china
MUSE_20180114_074804_47000,train,chapman_ningbo_china
MUSE_20180112_120515_62000,train,chapman_ningbo_china
MUSE_20180115_124930_22000,train,chapman_ningbo_china
MUSE_20180113_181158_17000,train,chapman_ningbo_china
MUSE_20180114_114607_95000,train,chapman_ningbo_china
MUSE_20180115_131444_18000,train,chapman_ningbo_china
MUSE_20180111_170259_16000,train,chapman_ningbo_china
MUSE_20180112_165757_30000,train,chapman_ningbo_china
MUSE_20180118_175258_08000,train,chapman_ningbo_china
MUSE_20180118_181602_47000,train,chapman_ningbo_china
MUSE_20180114_130229_77000,train,chapman_ningbo_china
MUSE_20180115_133920_44000,train,chapman_ningbo_china
MUSE_20180113_080027_71000,train,chapman_ningbo_china
MUSE_20180210_125844_17000,train,chapman_ningbo_china
MUSE_20180120_123116_40000,train,chapman_ningbo_china
MUSE_20180210_121106_46000,train,chapman_ningbo_china
MUSE_20180209_112102_06000,train,chapman_ningbo_china
MUSE_20180112_133837_76000,train,chapman_ningbo_china
MUSE_20180116_125017_92000,train,chapman_ningbo_china
MUSE_20180114_171840_49000,train,chapman_ningbo_china
MUSE_20180114_121621_22000,train,chapman_ningbo_china
MUSE_20180115_123152_11000,train,chapman_ningbo_china
MUSE_20180209_115554_68000,train,chapman_ningbo_china
MUSE_20180209_120642_30000,train,chapman_ningbo_china
MUSE_20180114_171112_71000,train,chapman_ningbo_china
MUSE_20180114_075732_95000,train,chapman_ningbo_china
MUSE_20180113_172903_51000,train,chapman_ningbo_china
MUSE_20180120_121909_19000,train,chapman_ningbo_china
MUSE_20180112_165959_17000,train,chapman_ningbo_china
MUSE_20180114_121743_37000,train,chapman_ningbo_china
MUSE_20180116_131500_57000,train,chapman_ningbo_china
MUSE_20180113_130644_39000,train,chapman_ningbo_china
MUSE_20180116_173651_07000,train,chapman_ningbo_china
MUSE_20180113_135928_31000,train,chapman_ningbo_china
MUSE_20180116_130751_88000,train,chapman_ningbo_china
MUSE_20180115_132432_41000,train,chapman_ningbo_china
MUSE_20180209_170729_57000,train,chapman_ningbo_china
MUSE_20180210_130156_42000,train,chapman_ningbo_china
MUSE_20180209_120035_39000,train,chapman_ningbo_china
MUSE_20180112_074823_64000,train,chapman_ningbo_china
MUSE_20180118_181234_58000,train,chapman_ningbo_china
MUSE_20180712_154838_53000,train,chapman_ningbo_china
MUSE_20180209_123609_63000,train,chapman_ningbo_china
MUSE_20180112_132202_59000,train,chapman_ningbo_china
MUSE_20180116_124154_35000,train,chapman_ningbo_china
MUSE_20180118_174823_95000,train,chapman_ningbo_china
MUSE_20180112_072902_78000,train,chapman_ningbo_china
MUSE_20180118_125741_09000,train,chapman_ningbo_china
MUSE_20180114_074410_70000,train,chapman_ningbo_china
MUSE_20180712_151357_86000,train,chapman_ningbo_china
MUSE_20180116_131922_18000,train,chapman_ningbo_china
MUSE_20180118_123009_54000,train,chapman_ningbo_china
MUSE_20180112_120851_87000,train,chapman_ningbo_china
MUSE_20180114_074451_17000,train,chapman_ningbo_china
MUSE_20180209_171124_05000,train,chapman_ningbo_china
MUSE_20180114_171205_36000,train,chapman_ningbo_china
MUSE_20180115_131931_71000,train,chapman_ningbo_china
MUSE_20180209_125054_21000,train,chapman_ningbo_china
MUSE_20180210_124651_74000,train,chapman_ningbo_china
MUSE_20180712_160855_39000,train,chapman_ningbo_china
MUSE_20180115_121720_71000,train,chapman_ningbo_china
MUSE_20180118_124202_85000,train,chapman_ningbo_china
MUSE_20180118_170811_27000,train,chapman_ningbo_china
MUSE_20180113_134759_07000,train,chapman_ningbo_china
MUSE_20180116_125005_58000,train,chapman_ningbo_china
MUSE_20180116_180812_56000,train,chapman_ningbo_china
MUSE_20180116_120458_70000,train,chapman_ningbo_china
MUSE_20180113_133042_57000,train,chapman_ningbo_china
MUSE_20180210_132143_19000,train,chapman_ningbo_china
MUSE_20180116_131134_68000,train,chapman_ningbo_china
MUSE_20180114_065535_12000,train,chapman_ningbo_china
MUSE_20180116_173807_70000,train,chapman_ningbo_china
MUSE_20180120_120813_30000,train,chapman_ningbo_china
MUSE_20180112_130728_82000,train,chapman_ningbo_china
MUSE_20180112_132836_26000,train,chapman_ningbo_china
MUSE_20180120_122528_62000,train,chapman_ningbo_china
MUSE_20180119_180058_03000,train,chapman_ningbo_china
MUSE_20180116_132919_14000,train,chapman_ningbo_china
MUSE_20180116_130105_17000,train,chapman_ningbo_china
MUSE_20180112_123625_46000,train,chapman_ningbo_china
MUSE_20180120_123302_31000,train,chapman_ningbo_china
MUSE_20180113_123539_98000,train,chapman_ningbo_china
MUSE_20180114_135335_46000,train,chapman_ningbo_china
MUSE_20180118_133425_38000,train,chapman_ningbo_china
MUSE_20180113_182555_79000,train,chapman_ningbo_china
MUSE_20180118_122114_47000,train,chapman_ningbo_china
MUSE_20180115_131859_76000,train,chapman_ningbo_china
MUSE_20180118_122950_89000,train,chapman_ningbo_china
MUSE_20180112_170004_44000,train,chapman_ningbo_china
MUSE_20180112_125041_68000,train,chapman_ningbo_china
MUSE_20180118_174224_58000,train,chapman_ningbo_china
MUSE_20180114_134359_60000,train,chapman_ningbo_china
MUSE_20180210_120901_30000,train,chapman_ningbo_china
MUSE_20180116_180446_98000,train,chapman_ningbo_china
MUSE_20180712_151533_45000,train,chapman_ningbo_china
MUSE_20180116_131252_68000,train,chapman_ningbo_china
MUSE_20180114_065434_05000,train,chapman_ningbo_china
MUSE_20180116_124414_75000,train,chapman_ningbo_china
MUSE_20180210_123628_90000,train,chapman_ningbo_china
MUSE_20180120_122232_40000,train,chapman_ningbo_china
MUSE_20180112_121142_25000,train,chapman_ningbo_china
MUSE_20180112_072955_91000,train,chapman_ningbo_china
MUSE_20180712_150824_56000,train,chapman_ningbo_china
MUSE_20180115_132228_19000,train,chapman_ningbo_china
MUSE_20180112_132626_21000,train,chapman_ningbo_china
MUSE_20180210_130629_31000,train,chapman_ningbo_china
MUSE_20180116_170901_37000,train,chapman_ningbo_china
MUSE_20180114_134733_61000,train,chapman_ningbo_china
MUSE_20180112_122754_74000,train,chapman_ningbo_china
MUSE_20180209_122000_43000,train,chapman_ningbo_china
MUSE_20180116_171433_26000,train,chapman_ningbo_china
MUSE_20180118_180637_13000,train,chapman_ningbo_china
MUSE_20180210_130323_45000,train,chapman_ningbo_china
MUSE_20180112_075615_08000,train,chapman_ningbo_china
MUSE_20180116_134022_57000,train,chapman_ningbo_china
MUSE_20180209_124307_16000,train,chapman_ningbo_china
MUSE_20180115_122737_80000,train,chapman_ningbo_china
MUSE_20180209_120217_58000,train,chapman_ningbo_china
MUSE_20180116_171323_40000,train,chapman_ningbo_china
MUSE_20180118_175239_33000,train,chapman_ningbo_china
MUSE_20180115_130147_88000,train,chapman_ningbo_china
MUSE_20180114_134259_75000,train,chapman_ningbo_china
MUSE_20180114_075425_61000,train,chapman_ningbo_china
MUSE_20180113_183246_20000,train,chapman_ningbo_china
MUSE_20180209_131223_02000,train,chapman_ningbo_china
MUSE_20180209_115752_46000,train,chapman_ningbo_china
MUSE_20180114_080148_13000,train,chapman_ningbo_china
MUSE_20180209_122235_93000,train,chapman_ningbo_china
MUSE_20180116_123010_01000,train,chapman_ningbo_china
MUSE_20180118_133017_95000,train,chapman_ningbo_china
MUSE_20180116_133642_50000,train,chapman_ningbo_china
MUSE_20180113_182833_26000,train,chapman_ningbo_china
MUSE_20180115_123105_33000,train,chapman_ningbo_china
MUSE_20180114_122136_09000,train,chapman_ningbo_china
MUSE_20180112_122158_23000,train,chapman_ningbo_china
MUSE_20180209_125623_18000,train,chapman_ningbo_china
MUSE_20180115_134257_52000,train,chapman_ningbo_china
MUSE_20180113_074252_17000,train,chapman_ningbo_china
MUSE_20180209_114501_40000,train,chapman_ningbo_china
MUSE_20180209_114832_65000,train,chapman_ningbo_china
MUSE_20180115_132315_91000,train,chapman_ningbo_china
MUSE_20180116_180929_81000,train,chapman_ningbo_china
MUSE_20180120_121907_07000,train,chapman_ningbo_china
MUSE_20180209_115454_21000,train,chapman_ningbo_china
MUSE_20180209_120924_37000,train,chapman_ningbo_china
MUSE_20180209_131130_06000,train,chapman_ningbo_china
MUSE_20180113_174206_32000,train,chapman_ningbo_china
MUSE_20180112_073556_78000,train,chapman_ningbo_china
MUSE_20180712_151441_39000,train,chapman_ningbo_china
MUSE_20180114_114447_31000,train,chapman_ningbo_china
MUSE_20180712_160327_92000,train,chapman_ningbo_china
MUSE_20180111_165819_77000,train,chapman_ningbo_china
MUSE_20180114_071506_87000,train,chapman_ningbo_china
MUSE_20180210_120030_82000,train,chapman_ningbo_china
MUSE_20180114_125938_57000,train,chapman_ningbo_china
MUSE_20180712_152550_20000,train,chapman_ningbo_china
MUSE_20180115_134213_60000,train,chapman_ningbo_china
MUSE_20180113_175348_27000,train,chapman_ningbo_china
MUSE_20180113_132521_94000,train,chapman_ningbo_china
MUSE_20180113_182220_81000,train,chapman_ningbo_china
MUSE_20180114_071109_97000,train,chapman_ningbo_china
MUSE_20180112_135605_58000,train,chapman_ningbo_china
MUSE_20180115_121346_63000,train,chapman_ningbo_china
MUSE_20180209_175340_86000,train,chapman_ningbo_china
MUSE_20180116_181042_26000,train,chapman_ningbo_china
MUSE_20180209_114330_90000,train,chapman_ningbo_china
MUSE_20180112_074746_07000,train,chapman_ningbo_china
MUSE_20180116_181052_45000,train,chapman_ningbo_china
MUSE_20180114_135332_24000,train,chapman_ningbo_china
MUSE_20180210_124851_66000,train,chapman_ningbo_china
MUSE_20180209_170429_50000,train,chapman_ningbo_china
MUSE_20180116_133041_23000,train,chapman_ningbo_china
MUSE_20180210_130148_06000,train,chapman_ningbo_china
MUSE_20180712_153820_89000,train,chapman_ningbo_china
MUSE_20180118_170734_94000,train,chapman_ningbo_china
MUSE_20180210_121425_58000,train,chapman_ningbo_china
MUSE_20180113_125842_49000,train,chapman_ningbo_china
MUSE_20180118_132318_18000,train,chapman_ningbo_china
MUSE_20180210_121822_78000,train,chapman_ningbo_china
MUSE_20180112_075011_18000,train,chapman_ningbo_china
MUSE_20180209_120156_76000,train,chapman_ningbo_china
MUSE_20180209_123628_18000,train,chapman_ningbo_china
MUSE_20180209_125442_21000,train,chapman_ningbo_china
MUSE_20180112_131856_15000,train,chapman_ningbo_china
MUSE_20180114_073000_20000,train,chapman_ningbo_china
MUSE_20180116_173444_59000,train,chapman_ningbo_china
MUSE_20180113_121937_28000,train,chapman_ningbo_china
MUSE_20180114_075959_14000,train,chapman_ningbo_china
MUSE_20180116_170810_79000,train,chapman_ningbo_china
MUSE_20180111_165851_92000,train,chapman_ningbo_china
MUSE_20180209_122513_27000,train,chapman_ningbo_china
MUSE_20180115_124748_16000,train,chapman_ningbo_china
MUSE_20180114_171005_60000,train,chapman_ningbo_china
MUSE_20180114_072023_07000,train,chapman_ningbo_china
MUSE_20180115_124410_12000,train,chapman_ningbo_china
MUSE_20180113_072019_29000,train,chapman_ningbo_china
MUSE_20180118_172955_82000,train,chapman_ningbo_china
MUSE_20180116_124349_69000,train,chapman_ningbo_china
MUSE_20180115_131310_41000,train,chapman_ningbo_china
MUSE_20180209_125625_29000,train,chapman_ningbo_china
MUSE_20180209_174819_99000,train,chapman_ningbo_china
MUSE_20180112_073252_14000,train,chapman_ningbo_china
MUSE_20180712_152014_31000,train,chapman_ningbo_china
MUSE_20180209_120330_86000,train,chapman_ningbo_china
MUSE_20180114_070331_62000,train,chapman_ningbo_china
MUSE_20180113_124658_83000,train,chapman_ningbo_china
MUSE_20180118_135038_79000,train,chapman_ningbo_china
MUSE_20180210_124103_02000,train,chapman_ningbo_china
MUSE_20180210_123135_23000,train,chapman_ningbo_china
MUSE_20180209_120236_12000,train,chapman_ningbo_china
MUSE_20180113_122657_07000,train,chapman_ningbo_china
MUSE_20180116_174247_21000,train,chapman_ningbo_china
MUSE_20180113_115509_72000,train,chapman_ningbo_china
MUSE_20180116_122235_32000,train,chapman_ningbo_china
MUSE_20180112_071848_62000,train,chapman_ningbo_china
MUSE_20180115_133854_42000,train,chapman_ningbo_china
MUSE_20180113_125854_77000,train,chapman_ningbo_china
MUSE_20180119_173943_04000,train,chapman_ningbo_china
MUSE_20180209_125647_19000,train,chapman_ningbo_china
MUSE_20180209_170850_78000,train,chapman_ningbo_china
MUSE_20180112_135637_56000,train,chapman_ningbo_china
MUSE_20180114_115416_95000,train,chapman_ningbo_china
MUSE_20180210_120301_25000,train,chapman_ningbo_china
MUSE_20180116_170703_03000,train,chapman_ningbo_china
MUSE_20180114_124803_17000,train,chapman_ningbo_china
MUSE_20180115_130818_33000,train,chapman_ningbo_china
MUSE_20180712_160537_97000,train,chapman_ningbo_china
MUSE_20180113_135009_53000,train,chapman_ningbo_china
MUSE_20180114_125814_24000,train,chapman_ningbo_china
MUSE_20180114_070940_66000,train,chapman_ningbo_china
MUSE_20180209_132056_69000,train,chapman_ningbo_china
MUSE_20180118_174848_87000,train,chapman_ningbo_china
MUSE_20180115_123803_02000,train,chapman_ningbo_china
MUSE_20180112_120053_84000,train,chapman_ningbo_china
MUSE_20180114_073907_64000,train,chapman_ningbo_china
MUSE_20180114_125221_59000,train,chapman_ningbo_china
MUSE_20180113_123434_64000,train,chapman_ningbo_china
MUSE_20180712_151456_55000,train,chapman_ningbo_china
MUSE_20180209_123321_68000,train,chapman_ningbo_china
MUSE_20180116_132409_64000,train,chapman_ningbo_china
MUSE_20180116_170736_16000,train,chapman_ningbo_china
MUSE_20180712_151111_00000,train,chapman_ningbo_china
MUSE_20180116_123258_56000,train,chapman_ningbo_china
MUSE_20180113_133835_21000,train,chapman_ningbo_china
MUSE_20180209_121330_04000,train,chapman_ningbo_china
MUSE_20180116_122227_97000,train,chapman_ningbo_china
MUSE_20180112_130348_90000,train,chapman_ningbo_china
MUSE_20180112_115351_12000,train,chapman_ningbo_china
MUSE_20180113_115150_54000,train,chapman_ningbo_china
MUSE_20180116_123820_98000,train,chapman_ningbo_china
MUSE_20180116_175137_79000,train,chapman_ningbo_china
MUSE_20180116_121018_25000,train,chapman_ningbo_china
MUSE_20180114_114635_31000,train,chapman_ningbo_china
MUSE_20180112_135515_59000,train,chapman_ningbo_china
MUSE_20180712_150759_20000,train,chapman_ningbo_china
MUSE_20180116_133308_32000,train,chapman_ningbo_china
MUSE_20180113_072114_14000,train,chapman_ningbo_china
MUSE_20180116_170909_79000,train,chapman_ningbo_china
MUSE_20180114_114738_47000,train,chapman_ningbo_china
MUSE_20180712_154825_64000,train,chapman_ningbo_china
MUSE_20180712_160026_53000,train,chapman_ningbo_china
MUSE_20180114_170414_36000,train,chapman_ningbo_china
MUSE_20180118_131242_54000,train,chapman_ningbo_china
MUSE_20180114_124929_44000,train,chapman_ningbo_china
MUSE_20180114_134620_71000,train,chapman_ningbo_china
MUSE_20180113_074747_17000,train,chapman_ningbo_china
MUSE_20180114_131620_31000,train,chapman_ningbo_china
MUSE_20180114_134129_73000,train,chapman_ningbo_china
MUSE_20180116_174842_45000,train,chapman_ningbo_china
MUSE_20180113_174213_74000,train,chapman_ningbo_china
MUSE_20180114_171606_10000,train,chapman_ningbo_china
MUSE_20180112_134633_77000,train,chapman_ningbo_china
MUSE_20180112_141338_52000,train,chapman_ningbo_china
MUSE_20180113_132253_71000,train,chapman_ningbo_china
MUSE_20180712_151156_08000,train,chapman_ningbo_china
MUSE_20180209_115057_69000,train,chapman_ningbo_china
MUSE_20180113_132924_59000,train,chapman_ningbo_china
MUSE_20180114_074538_22000,train,chapman_ningbo_china
MUSE_20180113_174651_97000,train,chapman_ningbo_china
MUSE_20180210_123928_58000,train,chapman_ningbo_china
MUSE_20180712_154648_98000,train,chapman_ningbo_china
MUSE_20180112_134000_60000,train,chapman_ningbo_china
MUSE_20180116_121258_24000,train,chapman_ningbo_china
MUSE_20180712_151542_11000,train,chapman_ningbo_china
MUSE_20180114_074721_91000,train,chapman_ningbo_china
MUSE_20180118_134316_33000,train,chapman_ningbo_china
MUSE_20180116_125019_00000,train,chapman_ningbo_china
MUSE_20180119_170743_89000,train,chapman_ningbo_china
MUSE_20180712_153002_00000,train,chapman_ningbo_china
MUSE_20180113_071815_89000,train,chapman_ningbo_china
MUSE_20180209_114146_57000,train,chapman_ningbo_china
MUSE_20180116_133130_01000,train,chapman_ningbo_china
MUSE_20180113_120343_69000,train,chapman_ningbo_china
MUSE_20180120_120854_82000,train,chapman_ningbo_china
MUSE_20180114_071502_64000,train,chapman_ningbo_china
MUSE_20180114_122043_48000,train,chapman_ningbo_china
MUSE_20180112_073108_36000,train,chapman_ningbo_china
MUSE_20180114_074659_06000,train,chapman_ningbo_china
MUSE_20180116_132519_23000,train,chapman_ningbo_china
MUSE_20180113_122448_87000,train,chapman_ningbo_china
MUSE_20180118_132735_36000,train,chapman_ningbo_china
MUSE_20180209_171952_88000,train,chapman_ningbo_china
MUSE_20180114_122857_08000,train,chapman_ningbo_china
MUSE_20180712_154426_02000,train,chapman_ningbo_china
MUSE_20180116_124204_54000,train,chapman_ningbo_china
MUSE_20180116_121343_86000,train,chapman_ningbo_china
MUSE_20180116_124401_45000,train,chapman_ningbo_china
MUSE_20180712_151252_61000,train,chapman_ningbo_china
MUSE_20180113_185659_83000,train,chapman_ningbo_china
MUSE_20180209_120620_49000,train,chapman_ningbo_china
MUSE_20180712_151508_95000,train,chapman_ningbo_china
MUSE_20180113_080642_74000,train,chapman_ningbo_china
MUSE_20180112_165755_14000,train,chapman_ningbo_china
MUSE_20180113_135123_24000,train,chapman_ningbo_china
MUSE_20180209_114948_69000,train,chapman_ningbo_china
MUSE_20180113_075016_97000,train,chapman_ningbo_china
MUSE_20180112_072046_71000,train,chapman_ningbo_china
MUSE_20180210_123447_73000,train,chapman_ningbo_china
MUSE_20180209_120438_11000,train,chapman_ningbo_china
MUSE_20180120_122541_91000,train,chapman_ningbo_china
MUSE_20180113_182825_76000,train,chapman_ningbo_china
MUSE_20180116_122751_25000,train,chapman_ningbo_china
MUSE_20180118_173126_44000,train,chapman_ningbo_china
MUSE_20180114_075358_53000,train,chapman_ningbo_china
MUSE_20180118_131943_18000,train,chapman_ningbo_china
MUSE_20180112_121124_58000,train,chapman_ningbo_china
MUSE_20180712_152747_69000,train,chapman_ningbo_china
MUSE_20180114_120421_28000,train,chapman_ningbo_china
MUSE_20180113_182509_03000,train,chapman_ningbo_china
MUSE_20180112_070957_92000,train,chapman_ningbo_china
MUSE_20180118_120337_85000,train,chapman_ningbo_china
MUSE_20180116_174137_05000,train,chapman_ningbo_china
MUSE_20180119_175356_30000,train,chapman_ningbo_china
MUSE_20180209_170424_19000,train,chapman_ningbo_china
MUSE_20180113_180202_21000,train,chapman_ningbo_china
MUSE_20180113_122645_46000,train,chapman_ningbo_china
MUSE_20180114_125056_57000,train,chapman_ningbo_china
MUSE_20180113_181143_77000,train,chapman_ningbo_china
